Time,Category,Value
0.020734000000000377,Error,1.0
0.03648099999999977,P,5.0
0.03670399999999972,I,0.0
0.03692399999999998,D,0.0
0.037134000000000014,Speed,5.0
0.06101699999999983,Error,1.0
0.06130199999999968,P,5.0
0.06149600000000009,I,0.0
0.061661000000000056,D,0.0
0.06182700000000023,Speed,5.0
0.06475600000000031,Error,1.0
0.06503799999999955,P,5.0
0.06524299999999948,I,0.0
0.06541799999999967,D,0.0
0.06558699999999953,Speed,5.0
0.06659299999999985,Error,1.0
0.06682600000000002,P,5.0
0.06701199999999971,I,0.0
0.06718099999999959,D,0.0
0.06735099999999966,Speed,5.0
0.06917199999999957,Error,1.0
0.06948199999999997,P,5.0
0.06968400000000019,I,0.0
0.06985699999999997,D,0.0
0.07002899999999954,Speed,5.0
0.08923099999999977,Error,0.5634765625
0.08964000000000033,P,2.8173828125
0.08989499999999953,I,0.0
0.09014300000000003,D,0.0
0.09034699999999975,Speed,2.8173828125
0.10931700000000001,Error,0.1169921875
0.10970100000000002,P,0.5849609375
0.10994999999999981,I,0.0
0.11012399999999979,D,0.0
0.11029200000000038,Speed,0.5849609375
0.12951599999999963,Error,-0.32890625
0.12986300000000028,P,-1.64453125
0.1301319999999996,I,0.0
0.1303239999999996,D,0.0
0.1305019999999995,Speed,-1.64453125
0.1493140000000003,Error,-0.70078125
0.1497560000000003,P,-3.50390625
0.1499989999999998,I,0.0
0.15017500000000017,D,0.0
0.15035099999999965,Speed,-3.50390625
0.16922299999999996,Error,-0.72109375
0.16961099999999987,P,-3.60546875
0.16985099999999967,I,0.0
0.17004200000000036,D,0.0
0.17022900000000027,Speed,-3.60546875
0.189308,Error,-0.18857421875
0.18970399999999973,P,-0.94287109375
0.18995799999999963,I,0.0
0.19014900000000035,D,0.0
0.19033799999999973,Speed,-0.94287109375
0.20940800000000034,Error,0.6216796875
0.2097460000000001,P,3.1083984375
0.21002199999999993,I,0.0
0.21021600000000035,D,0.0
0.21059400000000006,Speed,3.1083984375
0.22929600000000028,Error,1.48740234375
0.22971799999999984,P,7.43701171875
0.22998999999999978,I,0.0
0.23018099999999958,D,0.0
0.23036999999999988,Speed,7.43701171875
0.24927999999999975,Error,2.17578125
0.2496999999999998,P,10.87890625
0.24996399999999994,I,0.0
0.25016499999999997,D,0.0
0.27709900000000015,Speed,10.87890625
0.2804920000000002,Error,2.27041015625
0.2808109999999997,P,11.35205078125
0.28976999999999953,I,0.0
0.28998400000000035,D,0.0
0.2901840000000002,Speed,11.35205078125
0.2991949999999997,Error,2.27041015625
0.2995789999999997,P,11.35205078125
0.2998699999999999,I,0.0
0.30006700000000003,D,0.0
0.30026999999999954,Speed,11.35205078125
0.30943099999999957,Error,0.9974609375
0.30978200000000017,P,4.9873046875
0.310058,I,0.0
0.3102380000000003,D,0.0
0.3104399999999996,Speed,4.9873046875
0.32929699999999956,Error,0.0900390625
0.3298220000000001,P,0.4501953125
0.33003700000000025,I,0.0
0.3303789999999999,D,0.0
0.3305640000000003,Speed,0.4501953125
0.3493119999999999,Error,-0.67724609375
0.34990099999999985,P,-3.38623046875
0.35019800000000034,I,0.0
0.350375,D,0.0
0.35066399999999975,Speed,-3.38623046875
0.36922000000000027,Error,-0.99189453125
0.3696449999999995,P,-4.95947265625
0.36986999999999987,I,0.0
0.3700559999999996,D,0.0
0.37023099999999975,Speed,-4.95947265625
0.38927999999999974,Error,-0.74892578125
0.38971000000000006,P,-3.74462890625
0.3899459999999999,I,0.0
0.3901319999999996,D,0.0
0.3903109999999997,Speed,-3.74462890625
0.4093090000000002,Error,-0.08984375
0.4096689999999999,P,-0.44921875
0.40996500000000013,I,0.0
0.4101539999999995,D,0.0
0.4103329999999996,Speed,-0.44921875
0.42927499999999963,Error,0.7544921875
0.4296359999999995,P,3.7724609375
0.42994899999999964,I,0.0
0.43014800000000014,D,0.0
0.43033299999999963,Speed,3.7724609375
0.4494669999999996,Error,1.54951171875
0.4497579999999998,P,7.74755859375
0.4499880000000003,I,0.0
0.45017000000000007,D,0.0
0.4503670000000002,Speed,7.74755859375
0.4694480000000003,Error,1.9759765625
0.46973800000000027,P,9.8798828125
0.4699700000000003,I,0.0
0.47015700000000016,D,0.0
0.47034199999999965,Speed,9.8798828125
0.4893829999999998,Error,1.8068359375
0.4896779999999999,P,9.0341796875
0.4899170000000004,I,0.0
0.49010499999999957,D,0.0
0.4903040000000001,Speed,9.0341796875
0.5098379999999998,Error,1.1662109375
0.5101610000000001,P,5.8310546875
0.5104219999999996,I,0.0
0.5106260000000002,D,0.0
0.5108339999999998,Speed,5.8310546875
0.5292979999999998,Error,1.1662109375
0.5297470000000003,P,5.8310546875
0.5405699999999997,I,0.0
0.5408400000000001,D,0.0
0.5410320000000002,Speed,5.8310546875
0.549308,Error,-0.43271484375
0.5496880000000001,P,-2.16357421875
0.5499309999999996,I,0.0
0.5501229999999996,D,0.0
0.5503369999999995,Speed,-2.16357421875
0.5693900000000003,Error,-0.98720703125
0.5697650000000003,P,-4.93603515625
0.5700079999999998,I,0.0
0.5701999999999998,D,0.0
0.5703940000000002,Speed,-4.93603515625
0.589246,Error,-1.092578125
0.5896179999999995,P,-5.462890625
0.5898599999999997,I,0.0
0.5900550000000003,D,0.0
0.5902449999999999,Speed,-5.462890625
0.609402,Error,-0.67578125
0.6096959999999999,P,-3.37890625
0.609937,I,0.0
0.6101319999999996,D,0.0
0.6104210000000003,Speed,-3.37890625
0.6292820000000001,Error,0.06650390625
0.6296509999999998,P,0.33251953125
0.6298810000000004,I,0.0
0.6300699999999997,D,0.0
0.6302609999999995,Speed,0.33251953125
0.649545,Error,0.93388671875
0.6498490000000001,P,4.66943359375
0.6500860000000003,I,0.0
0.6502789999999995,D,0.0
0.6504769999999999,Speed,4.66943359375
0.6693940000000003,Error,0.93388671875
0.6697749999999997,P,4.66943359375
0.6700209999999998,I,0.0
0.6702240000000002,D,0.0
0.6704219999999995,Speed,4.66943359375
0.6892609999999995,Error,2.06083984375
0.6897550000000001,P,10.30419921875
0.6900010000000002,I,0.0
0.6902780000000003,D,0.0
0.6905230000000001,Speed,10.30419921875
0.7092809999999999,Error,1.74453125
0.7123829999999998,P,8.72265625
0.7126980000000003,I,0.0
0.7131120000000001,D,0.0
0.713339,Speed,8.72265625
0.7294070000000001,Error,1.02490234375
0.7297169999999996,P,5.12451171875
0.7299700000000002,I,0.0
0.7301670000000003,D,0.0
0.7303649999999998,Speed,5.12451171875
0.7492730000000002,Error,0.162890625
0.7497979999999997,P,0.814453125
0.7500420000000003,I,0.0
0.7502330000000001,D,0.0
0.7504290000000001,Speed,0.814453125
0.769272,Error,-0.62802734375
0.7697169999999997,P,-3.14013671875
0.7699610000000002,I,0.0
0.7701570000000002,D,0.0
0.7703530000000001,Speed,-3.14013671875
0.7892529999999996,Error,-1.0240234375
0.7897219999999997,P,-5.1201171875
0.7899899999999997,I,0.0
0.7901959999999999,D,0.0
0.7903980000000002,Speed,-5.1201171875
0.8094889999999996,Error,-0.97587890625
0.8097920000000004,P,-4.87939453125
0.8100389999999997,I,0.0
0.8102569999999996,D,0.0
0.8104830000000002,Speed,-4.87939453125
0.8293659999999999,Error,-0.45107421875
0.8297389999999996,P,-2.25537109375
0.8299949999999999,I,0.0
0.83021,D,0.0
0.8304089999999996,Speed,-2.25537109375
0.8494660000000004,Error,0.34033203125
0.8498639999999996,P,1.70166015625
0.8526539999999996,I,0.0
0.8529439999999995,D,0.0
0.8531660000000002,Speed,1.70166015625
0.8692979999999998,Error,1.217578125
0.8696769999999997,P,6.087890625
0.8699219999999995,I,0.0
0.8701369999999997,D,0.0
0.8703549999999995,Speed,6.087890625
0.8892889999999998,Error,1.97138671875
0.8896729999999998,P,9.85693359375
0.8899340000000002,I,0.0
0.8901440000000003,D,0.0
0.8903810000000003,Speed,9.85693359375
0.9092470000000002,Error,2.21474609375
0.9096369999999997,P,11.07373046875
0.9098999999999996,I,0.0
0.9101080000000001,D,0.0
0.9103189999999995,Speed,11.07373046875
0.9292820000000002,Error,1.8078125
0.9296710000000002,P,9.0390625
0.9299229999999997,I,0.0
0.9301549999999997,D,0.0
0.9303689999999997,Speed,9.0390625
0.9495460000000002,Error,1.04365234375
0.9498490000000002,P,5.21826171875
0.9501099999999997,I,0.0
0.9503180000000002,D,0.0
0.9505259999999999,Speed,5.21826171875
0.96929,Error,1.04365234375
0.9697690000000002,P,5.21826171875
0.9700349999999999,I,0.0
0.9721319999999996,D,0.0
0.972424,Speed,5.21826171875
0.9895079999999998,Error,-0.62138671875
0.9898270000000002,P,-3.10693359375
0.9900929999999999,I,0.0
0.9903180000000003,D,0.0
0.9905469999999996,Speed,-3.10693359375
1.0092479999999997,Error,-1.06162109375
1.0096539999999996,P,-5.30810546875
1.0099319999999998,I,0.0
1.010148,D,0.0
1.0103779999999998,Speed,-5.30810546875
1.0295439999999998,Error,-1.11259765625
1.0299359999999997,P,-5.56298828125
1.0302269999999998,I,0.0
1.0304539999999998,D,0.0
1.030687,Speed,-5.56298828125
1.0492920000000003,Error,-0.687890625
1.049724,P,-3.439453125
1.0500649999999996,I,0.0
1.0503059999999995,D,0.0
1.0505479999999998,Speed,-3.439453125
1.069268,Error,0.05361328125
1.069678,P,0.26806640625
1.0699589999999999,I,0.0
1.0702699999999996,D,0.0
1.070518,Speed,0.26806640625
1.089535,Error,0.9185546875
1.0898940000000001,P,4.5927734375
1.090174,I,0.0
1.090478,D,0.0
1.090803,Speed,4.5927734375
1.109237,Error,1.7068359375
1.1096700000000002,P,8.5341796875
1.1099769999999998,I,0.0
1.1102309999999997,D,0.0
1.110482,Speed,8.5341796875
1.1294809999999997,Error,2.04111328125
1.1298149999999996,P,10.20556640625
1.1301080000000001,I,0.0
1.1303329999999996,D,0.0
1.1305689999999995,Speed,10.20556640625
1.1492280000000001,Error,2.04111328125
1.1496520000000001,P,10.20556640625
1.1499319999999997,I,0.0
1.1501639999999997,D,0.0
1.1504009999999998,Speed,10.20556640625
1.169246,Error,1.015234375
1.1696769999999996,P,5.076171875
1.169968,I,0.0
1.170205,D,0.0
1.1704449999999997,Speed,5.076171875
1.1894859999999998,Error,0.1564453125
1.189826,P,0.7822265625
1.1901030000000001,I,0.0
1.1903339999999998,D,0.0
1.1905820000000003,Speed,0.7822265625
1.2094899999999997,Error,-0.63017578125
1.2098239999999996,P,-3.15087890625
1.210117,I,0.0
1.2103559999999998,D,0.0
1.2105959999999996,Speed,-3.15087890625
1.2292979999999998,Error,-0.63017578125
1.2297330000000002,P,-3.15087890625
1.2300519999999997,I,0.0
1.2303010000000003,D,0.0
1.2305460000000004,Speed,-3.15087890625
1.249246,Error,-0.9572265625
1.2496779999999998,P,-4.7861328125
1.2499899999999997,I,0.0
1.2502740000000003,D,0.0
1.2505680000000001,Speed,-4.7861328125
1.2692809999999999,Error,-0.42587890625
1.2697160000000003,P,-2.12939453125
1.2700129999999998,I,0.0
1.273482,D,0.0
1.2737979999999998,Speed,-2.12939453125
1.2892730000000001,Error,0.3654296875
1.2897070000000004,P,1.8271484375
1.2900010000000002,I,0.0
1.2902389999999995,D,0.0
1.290491,Speed,1.8271484375
1.309384,Error,1.24208984375
1.309728,P,6.21044921875
1.310004,I,0.0
1.3102399999999998,D,0.0
1.3104790000000002,Speed,6.21044921875
1.3292479999999995,Error,1.98564453125
1.3296949999999996,P,9.92822265625
1.3300100000000001,I,0.0
1.3302749999999997,D,0.0
1.330554,Speed,9.92822265625
1.349424,Error,2.21279296875
1.3497749999999997,P,11.06396484375
1.3500770000000002,I,0.0
1.35034,D,0.0
1.3505900000000002,Speed,11.06396484375
1.3692910000000003,Error,1.797265625
1.3698180000000002,P,8.986328125
1.3701130000000004,I,0.0
1.370375,D,0.0
1.3706260000000001,Speed,8.986328125
1.38925,Error,1.033203125
1.389741,P,5.166015625
1.390036,I,0.0
1.3902910000000002,D,0.0
1.3905659999999997,Speed,5.166015625
1.409379,Error,0.16318359375
1.4097250000000003,P,0.81591796875
1.4100219999999999,I,0.0
1.4102799999999998,D,0.0
1.41054,Speed,0.81591796875
1.4292709999999997,Error,-0.62470703125
1.4297579999999999,P,-3.12353515625
1.4300829999999995,I,0.0
1.430343,D,0.0
1.4306109999999999,Speed,-3.12353515625
1.449401,Error,-1.0185546875
1.4497519999999995,P,-5.0927734375
1.450063,I,0.0
1.4503059999999997,D,0.0
1.4505720000000002,Speed,-5.0927734375
1.4693769999999995,Error,-0.97197265625
1.469764,P,-4.85986328125
1.4700699999999998,I,0.0
1.4703590000000004,D,0.0
1.470639,Speed,-4.85986328125
1.4892920000000003,Error,-0.44951171875
1.4897470000000004,P,-2.24755859375
1.4900599999999995,I,0.0
1.4903220000000001,D,0.0
1.490589,Speed,-2.24755859375
1.5094080000000003,Error,0.33955078125
1.5097699999999996,P,1.69775390625
1.5100850000000001,I,0.0
1.5103500000000003,D,0.0
1.5131760000000003,Speed,1.69775390625
1.529255,Error,1.21474609375
1.5297259999999997,P,6.07373046875
1.5300529999999999,I,0.0
1.530326,D,0.0
1.5305829999999996,Speed,6.07373046875
1.5492740000000003,Error,1.9701171875
1.5497479999999997,P,9.8505859375
1.5500919999999996,I,0.0
1.550375,D,0.0
1.5506369999999998,Speed,9.8505859375
1.5692569999999997,Error,2.2162109375
1.569728,P,11.0810546875
1.5700289999999995,I,0.0
1.5702960000000004,D,0.0
1.5705730000000002,Speed,11.0810546875
1.5892789999999994,Error,1.81337890625
1.5897529999999997,P,9.06689453125
1.592571,I,0.0
1.5929539999999998,D,0.0
1.5932420000000003,Speed,9.06689453125
1.6094229999999998,Error,1.0947265625
1.6097960000000002,P,5.4736328125
1.6100940000000001,I,0.0
1.6103559999999997,D,0.0
1.6106149999999997,Speed,5.4736328125
1.6294449999999998,Error,0.1849609375
1.629826,P,0.9248046875
1.630152,I,0.0
1.6305829999999997,D,0.0
1.6308729999999996,Speed,0.9248046875
1.6495240000000004,Error,-0.608984375
1.6499340000000002,P,-3.044921875
1.6503869999999998,I,0.0
1.6507039999999997,D,0.0
1.651027,Speed,-3.044921875
1.6695259999999998,Error,-1.033203125
1.6698819999999996,P,-5.166015625
1.6702110000000003,I,0.0
1.670486,D,0.0
1.67075,Speed,-5.166015625
1.6894229999999997,Error,-1.033203125
1.6898050000000002,P,-5.166015625
1.6901490000000003,I,0.0
1.69075,D,0.0
1.6910479999999999,Speed,-5.166015625
1.7092889999999998,Error,-0.5880859375
1.709737,P,-2.9404296875
1.7100550000000003,I,0.0
1.710331,D,0.0
1.7106199999999998,Speed,-2.9404296875
1.7293850000000002,Error,0.1697265625
1.7297780000000003,P,0.8486328125
1.7327749999999997,I,0.0
1.7331329999999998,D,0.0
1.7334690000000001,Speed,0.8486328125
1.7494480000000003,Error,1.0376953125
1.7499979999999995,P,5.1884765625
1.7503469999999997,I,0.0
1.7506369999999998,D,0.0
1.751156,Speed,5.1884765625
1.7692860000000001,Error,1.8119140625
1.769813,P,9.0595703125
1.770143,I,0.0
1.7704210000000002,D,0.0
1.770727,Speed,9.0595703125
1.789245,Error,2.11064453125
1.7902150000000001,P,10.55322265625
1.7905569999999997,I,0.0
1.7937789999999996,D,0.0
1.7941409999999995,Speed,10.55322265625
1.809255,Error,1.76259765625
1.8097129999999997,P,8.81298828125
1.8100339999999997,I,0.0
1.8103189999999996,D,0.0
1.810616,Speed,8.81298828125
1.8294139999999997,Error,1.02958984375
1.829812,P,5.14794921875
1.830241,I,0.0
1.8306179999999994,D,0.0
1.830942,Speed,5.14794921875
1.8493879999999998,Error,0.1681640625
1.8498099999999995,P,0.8408203125
1.8501629999999996,I,0.0
1.8504690000000001,D,0.0
1.8543239999999996,Speed,0.8408203125
1.8695339999999996,Error,-0.62080078125
1.869937,P,-3.10400390625
1.870272,I,0.0
1.8705630000000002,D,0.0
1.8708639999999996,Speed,-3.10400390625
1.8892470000000003,Error,-1.0208984375
1.889786,P,-5.1044921875
1.890223,I,0.0
1.8905469999999995,D,0.0
1.8908630000000002,Speed,-5.1044921875
1.9094409999999997,Error,-0.992578125
1.9098410000000003,P,-4.962890625
1.910196,I,0.0
1.9104889999999997,D,0.0
1.9108019999999997,Speed,-4.962890625
1.929246,Error,-0.48876953125
1.92971,P,-2.44384765625
1.9300519999999997,I,0.0
1.9303649999999999,D,0.0
1.930683,Speed,-2.44384765625
1.9497010000000001,Error,0.28974609375
1.9501019999999998,P,1.44873046875
1.9504560000000002,I,0.0
1.9507569999999996,D,0.0
1.9510730000000003,Speed,1.44873046875
1.9694470000000002,Error,0.28974609375
1.969885,P,1.44873046875
1.970272,I,0.0
1.970616,D,0.0
1.9709359999999998,Speed,1.44873046875
1.9893729999999996,Error,1.921875
1.9897799999999997,P,9.609375
1.990134,I,0.0
1.9904929999999994,D,0.0
1.9908379999999997,Speed,9.609375
