Timestamp,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-3 Output Current,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-4 Output Current,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-2 Output Current,SparkMax\\?\usb#vid_0483&pid_a3b1&mi_00#6&d987515&0&0000#{c15b4308-04d3-11e6-b3ea-6057189e6443}-1 Output Current
1648914927457,0
1648914927466,,0
1648914927475,,,0
1648914927482,,,,0
1648914927572,0,,,
1648914927581,,0,,
1648914927591,,,0,
1648914927602,,,,0
1648914927685,0,,,
1648914927693,,0,,
1648914927703,,,0,
1648914927712,,,,0
1648914927801,0,,,
1648914927808,,0,,
1648914927815,,,0,
1648914927829,,,,0
1648914927912,0,,,
1648914927920,,0,,
1648914927928,,,0,
1648914927938,,,,0
1648914928022,0,,,
1648914928030,,0,,
1648914928042,,,0,
1648914928051,,,,0
1648914928144,0.0625,,,
1648914928150,,0,,
1648914928157,,,0,
1648914928168,,,,0
1648914928254,0.75,,,
1648914928263,,0,,
1648914928272,,,0,
1648914928280,,,,0.59375
1648914928367,0.8125,,,
1648914928374,,0,,
1648914928385,,,0,
1648914928394,,,,9.46875
1648914928480,17.34375,,,
1648914928490,,0,,
1648914928498,,,0,
1648914928510,,,,26.5
1648914928587,33.125,,,
1648914928600,,0,,
1648914928616,,,0,
1648914928623,,,,35.40625
1648914928698,39.59375,,,
1648914928707,,0,,
1648914928727,,,0,
1648914928735,,,,42.46875
1648914928809,44.875,,,
1648914928818,,0,,
1648914928834,,,0,
1648914928843,,,,48
1648914928916,49.40625,,,
1648914928927,,0,,
1648914928946,,,0,
1648914928954,,,,52.09375
1648914929030,55.9375,,,
1648914929038,,0,,
1648914929055,,,0,
1648914929062,,,,58.96875
1648914929139,62.5,,,
1648914929147,,0,,
1648914929168,,,0,
1648914929174,,,,66.8125
1648914929253,70.59375,,,
1648914929261,,0,,
1648914929275,,,0,
1648914929285,,,,73.71875
1648914929366,76.1875,,,
1648914929374,,0,,
1648914929385,,,0,
1648914929394,,,,82.21875
1648914929472,84.5625,,,
1648914929486,,0,,
1648914929495,,,0,
1648914929507,,,,87.4375
1648914929583,89.28125,,,
1648914929593,,0,,
1648914929611,,,0,
1648914929621,,,,94.40625
1648914929696,97.65625,,,
1648914929706,,0,,
1648914929730,,,0,
1648914929737,,,,98.4375
1648914929811,100,,,
1648914929821,,0,,
1648914929840,,,0,
1648914929847,,,,100.03125
1648914929922,99.9375,,,
1648914929931,,0,,
1648914929950,,,0,
1648914929958,,,,100.0625
1648914930034,100.03125,,,
1648914930042,,0,,
1648914930060,,,0,
1648914930069,,,,99.90625
1648914930141,100.09375,,,
1648914930159,,0,,
1648914930170,,,0,
1648914930182,,,,100.15625
1648914930254,99.9375,,,
1648914930274,,0,,
1648914930283,,,0,
1648914930290,,,,100.09375
1648914930370,99.90625,,,
1648914930383,,0,,
1648914930392,,,0,
1648914930406,,,,100.03125
1648914930478,99.9375,,,
1648914930491,,0,,
1648914930507,,,0,
1648914930515,,,,99.96875
1648914930593,99.9375,,,
1648914930602,,0,,
1648914930616,,,0,
1648914930626,,,,100
1648914930706,99.96875,,,
1648914930717,,0,,
1648914930728,,,0,
1648914930736,,,,99.96875
1648914930823,99.90625,,,
1648914930831,,0,,
1648914930842,,,0,
1648914930855,,,,100.03125
1648914930946,100,,,
1648914930956,,0,,
1648914930972,,,0,
1648914930983,,,,99.875
1648914931061,99.96875,,,
1648914931070,,0,,
1648914931083,,,0,
1648914931093,,,,100
1648914931171,100.09375,,,
1648914931180,,0,,
1648914931196,,,0,
1648914931208,,,,99.9375
1648914931285,100.03125,,,
1648914931297,,0,,
1648914931312,,,0,
1648914931323,,,,100.0625
1648914931402,100.09375,,,
1648914931411,,0,,
1648914931426,,,0,
1648914931440,,,,99.9375
1648914931517,100.09375,,,
1648914931525,,0,,
1648914931539,,,0,
1648914931550,,,,100.03125
1648914931632,100.09375,,,
1648914931641,,0,,
1648914931655,,,0,
1648914931667,,,,100.03125
1648914931746,100,,,
1648914931755,,0,,
1648914931767,,,0,
1648914931777,,,,100.03125
1648914931856,100,,,
1648914931865,,0,,
1648914931876,,,0,
1648914931888,,,,99.90625
1648914931966,100,,,
1648914931978,,0,,
1648914931991,,,0,
1648914932002,,,,100
1648914932082,100,,,
1648914932091,,0,,
1648914932102,,,0,
1648914932119,,,,99.96875
1648914932196,100.0625,,,
1648914932204,,0,,
1648914932216,,,0,
1648914932232,,,,100
1648914932311,100.25,,,
1648914932320,,0,,
1648914932340,,,0,
1648914932355,,,,89.34375
1648914932421,76.65625,,,
1648914932442,,0,,
1648914932452,,,0,
1648914932465,,,,64.5
1648914932530,55.6875,,,
1648914932551,,0,,
1648914932565,,,0,
1648914932578,,,,41.53125
1648914932643,33.65625,,,
1648914932665,,0,,
1648914932675,,,0,
1648914932687,,,,32.65625
1648914932753,24.3125,,,
1648914932773,,0,,
1648914932792,,,0,
1648914932801,,,,0.71875
1648914932859,0.09375,,,
1648914932881,,0,,
1648914932905,,,0,
1648914932914,,,,0
1648914932968,0,,,
1648914932990,,0,,
1648914933018,,,0,
1648914933039,,,,0
1648914933081,0,,,
1648914933099,,0,,
1648914933132,,,0,
1648914933162,,,,0
1648914933194,0,,,
1648914933210,,0,,
1648914933245,,,0,
1648914933273,,,,0
1648914933300,0,,,
1648914933321,,0,,
1648914933355,,,0,
1648914933382,,,,0
1648914933413,0,,,
1648914933432,,0,,
1648914933464,,,0,
1648914933488,,,,0
1648914933531,0,,,
1648914933542,,0,,
1648914933573,,,0,
1648914933600,,,,0
1648914933648,0,,,
1648914933656,,0,,
1648914933680,,,0,
1648914933708,,,,0
1648914933756,0,,,
1648914933768,,0,,
1648914933796,,,0,
1648914933816,,,,0
1648914933878,0,,,
1648914933886,,0,,
1648914933908,,,0,
1648914933926,,,,0
1648914933986,0,,,
1648914933996,,0,,
1648914934017,,,0,
1648914934035,,,,0
1648914934099,0,,,
1648914934106,,0,,
1648914934130,,,0,
1648914934152,,,,0
1648914934212,0,,,
1648914934221,,0,,
1648914934240,,,0,
1648914934265,,,,0
1648914934326,0,,,
1648914934339,,0,,
1648914934350,,,0,
1648914934375,,,,0
1648914934439,0,,,
1648914934453,,0,,
1648914934464,,,0,
1648914934481,,,,0
1648914934558,0,,,
1648914934572,,0,,
1648914934585,,,0,
1648914934596,,,,0
1648914934679,0,,,
1648914934688,,0,,
1648914934698,,,0,
1648914934711,,,,0
1648914934791,0,,,
1648914934802,,0,,
1648914934813,,,0,
1648914934823,,,,0
1648914934905,0,,,
1648914934914,,0,,
1648914934925,,,0,
1648914934938,,,,0
1648914935018,0,,,
1648914935028,,0,,
1648914935043,,,0,
1648914935057,,,,0
1648914935129,0,,,
1648914935148,,0,,
1648914935168,,,0,
1648914935181,,,,0
1648914935236,0,,,
1648914935259,,0,,
1648914935282,,,0,
1648914935292,,,,0
